



















"[0.34899404644966125, 1.0286977291107178, 1.575145461174543e-06]","[0.4827747046947479, 0.9613791704177856, -0.07206200063228607]","[0.5987597703933716, 0.8430737853050232, -0.11968546360731125]","[0.697053074836731, 0.7356454730033875, -0.16344568133354187]","[0.7993982434272766, 0.6491789817810059, -0.20925089716911316]","[0.533112108707428, 0.5911163091659546, -0.08853407204151154]","[0.6344554424285889, 0.42948195338249207, -0.16651754081249237]","[0.7101068496704102, 0.32706624269485474, -0.22566978633403778]","[0.783028781414032, 0.24070116877555847, -0.26562073826789856]","[0.4513091742992401, 0.5497390627861023, -0.10014575719833374]","[0.5083106160163879, 0.3410158157348633, -0.16921553015708923]","[0.5733247399330139, 0.2012864053249359, -0.22060652077198029]","[0.6376930475234985, 0.07575482130050659, -0.2571437358856201]","[0.36265283823013306, 0.5694336295127869, -0.12172312289476395]","[0.39082321524620056, 0.36394643783569336, -0.19242416322231293]","[0.44212204217910767, 0.2223801612854004, -0.2365810126066208]","[0.5027375221252441, 0.0931808352470398, -0.2649994492530823]","[0.2712043523788452, 0.632359504699707, -0.1489390730857849]","[0.246610626578331, 0.4730546176433563, -0.21517722308635712]","[0.2538849115371704, 0.3570093512535095, -0.24705815315246582]","[0.2770305573940277, 0.24121364951133728, -0.2669795751571655]"
"[0.34220534563064575, 1.0137056112289429, 1.5942799791446305e-06]","[0.48452210426330566, 0.9546512961387634, -0.0758805200457573]","[0.602618396282196, 0.8372611403465271, -0.1264379322528839]","[0.7008891105651855, 0.735255241394043, -0.17304927110671997]","[0.8036064505577087, 0.6496729850769043, -0.22396278381347656]","[0.5399900674819946, 0.5910763144493103, -0.10222502052783966]","[0.6437644958496094, 0.43537437915802, -0.18575234711170197]","[0.7210571765899658, 0.3328040838241577, -0.24998115003108978]","[0.7959772348403931, 0.24578946828842163, -0.29507899284362793]","[0.4580513536930084, 0.5497235059738159, -0.11654607206583023]","[0.5189445614814758, 0.34050774574279785, -0.19296284019947052]","[0.5865407586097717, 0.20277690887451172, -0.25454723834991455]","[0.6541085243225098, 0.07818979024887085, -0.3005605638027191]","[0.3669528663158417, 0.5674184560775757, -0.1407514065504074]","[0.4010368287563324, 0.36115509271621704, -0.22084687650203705]","[0.45495566725730896, 0.21875715255737305, -0.27921512722969055]","[0.5171082615852356, 0.09069657325744629, -0.31922662258148193]","[0.27327704429626465, 0.6265190839767456, -0.16999641060829163]","[0.25489145517349243, 0.4665529727935791, -0.2461688369512558]","[0.2639545798301697, 0.35180899500846863, -0.28960686922073364]","[0.2887374758720398, 0.23595121502876282, -0.3202272057533264]"
"[0.3407847285270691, 1.0102795362472534, 1.5779766044943244e-06]","[0.47239363193511963, 0.9450479745864868, -0.06737317889928818]","[0.5917917490005493, 0.8202193975448608, -0.11021696776151657]","[0.6911214590072632, 0.7141464948654175, -0.14983899891376495]","[0.7897964715957642, 0.6338752508163452, -0.19150958955287933]","[0.5290282964706421, 0.5783970952033997, -0.08386023342609406]","[0.633101224899292, 0.41691237688064575, -0.1574593335390091]","[0.7099648714065552, 0.3132113218307495, -0.21233223378658295]","[0.7819476127624512, 0.22905275225639343, -0.2493923306465149]","[0.4473525881767273, 0.5358478426933289, -0.09625542163848877]","[0.5083898305892944, 0.3305172622203827, -0.1630275696516037]","[0.5775987505912781, 0.1899072825908661, -0.21184352040290833]","[0.6451979875564575, 0.07112407684326172, -0.24629969894886017]","[0.3589301109313965, 0.5518338680267334, -0.1181657463312149]","[0.3960416316986084, 0.3475901484489441, -0.18812483549118042]","[0.45299917459487915, 0.2089543640613556, -0.23146533966064453]","[0.5167068243026733, 0.08672970533370972, -0.2590443193912506]","[0.2684502601623535, 0.6103686094284058, -0.14512759447097778]","[0.24809986352920532, 0.4522826075553894, -0.21268637478351593]","[0.25759464502334595, 0.33677536249160767, -0.24576734006404877]","[0.28218746185302734, 0.22405308485031128, -0.2660745084285736]"
"[0.3378443121910095, 1.003380537033081, 1.6106920384117984e-06]","[0.4719289541244507, 0.9356316328048706, -0.07048849761486053]","[0.5934785604476929, 0.8068389892578125, -0.11402560770511627]","[0.6891080141067505, 0.6940612196922302, -0.15362462401390076]","[0.7866055369377136, 0.6090664267539978, -0.19514775276184082]","[0.5186476111412048, 0.5578107833862305, -0.08488865196704865]","[0.6197457313537598, 0.39278119802474976, -0.157013401389122]","[0.6951003670692444, 0.2883526086807251, -0.21105585992336273]","[0.7654145359992981, 0.20551058650016785, -0.24734234809875488]","[0.4319162368774414, 0.5189759731292725, -0.09463371336460114]","[0.4842633306980133, 0.30996522307395935, -0.16032364964485168]","[0.5498862862586975, 0.1693595051765442, -0.20880721509456635]","[0.6149131059646606, 0.05303466320037842, -0.24271585047245026]","[0.3422836661338806, 0.5390182137489319, -0.11386626213788986]","[0.3713442087173462, 0.3313325047492981, -0.18202339112758636]","[0.42361927032470703, 0.19170227646827698, -0.22441861033439636]","[0.48404794931411743, 0.0698997974395752, -0.25115126371383667]","[0.2531242370605469, 0.6009801030158997, -0.1384430080652237]","[0.22920967638492584, 0.44033700227737427, -0.20356860756874084]","[0.23700563609600067, 0.32377174496650696, -0.2354404628276825]","[0.2609942853450775, 0.21183639764785767, -0.2546995282173157]"
"[0.35156649351119995, 0.9958071112632751, 1.6830404092615936e-06]","[0.48944711685180664, 0.9257900714874268, -0.08052582293748856]","[0.6014919281005859, 0.7990150451660156, -0.13167008757591248]","[0.6887582540512085, 0.6860565543174744, -0.17776042222976685]","[0.7879999279975891, 0.5994530916213989, -0.2267429232597351]","[0.5220667123794556, 0.5526896119117737, -0.10502181202173233]","[0.6181136965751648, 0.38539499044418335, -0.18698042631149292]","[0.6913905143737793, 0.2773376703262329, -0.24848824739456177]","[0.760875940322876, 0.189731627702713, -0.29088160395622253]","[0.4324425458908081, 0.5155408382415771, -0.11504782736301422]","[0.4796098470687866, 0.29831552505493164, -0.19164426624774933]","[0.5441974401473999, 0.1521846055984497, -0.24991147220134735]","[0.6087056994438171, 0.029830753803253174, -0.29192212224006653]","[0.34093624353408813, 0.5376196503639221, -0.135116308927536]","[0.3630419373512268, 0.3273383677005768, -0.21503646671772003]","[0.41344162821769714, 0.18523147702217102, -0.26922234892845154]","[0.472821980714798, 0.06257623434066772, -0.30455222725868225]","[0.2523445188999176, 0.6001092195510864, -0.16072411835193634]","[0.22252880036830902, 0.43957147002220154, -0.23633715510368347]","[0.2260107696056366, 0.32422110438346863, -0.27749696373939514]","[0.24711361527442932, 0.21126171946525574, -0.3047151565551758]"
"[0.37319186329841614, 1.016054391860962, 1.4206385685611167e-06]","[0.508579671382904, 0.9460117816925049, -0.060612283647060394]","[0.6234046816825867, 0.8173182606697083, -0.09987451136112213]","[0.7146323323249817, 0.7062709927558899, -0.1370556503534317]","[0.8094949722290039, 0.6294623017311096, -0.1763095259666443]","[0.54245924949646, 0.5685127973556519, -0.07361269742250443]","[0.6327177286148071, 0.3963848352432251, -0.14466848969459534]","[0.7056586742401123, 0.2934570014476776, -0.19810917973518372]","[0.7767305970191956, 0.20946872234344482, -0.23304685950279236]","[0.4571804404258728, 0.5301837921142578, -0.08695481717586517]","[0.501750111579895, 0.314157098531723, -0.14867399632930756]","[0.563542902469635, 0.17576831579208374, -0.19200149178504944]","[0.6223868131637573, 0.056295692920684814, -0.22124266624450684]","[0.3704758882522583, 0.5491231083869934, -0.10940488427877426]","[0.3889729678630829, 0.33395668864250183, -0.1726868748664856]","[0.43558621406555176, 0.18903106451034546, -0.20923984050750732]","[0.4895817041397095, 0.05987894535064697, -0.23135824501514435]","[0.2839721441268921, 0.6108681559562683, -0.13684169948101044]","[0.2500792145729065, 0.449626088142395, -0.19542770087718964]","[0.2522183060646057, 0.32899802923202515, -0.22095824778079987]","[0.2703816294670105, 0.20921006798744202, -0.23558737337589264]"
"[0.3888273239135742, 1.0272648334503174, 1.4403773320736946e-06]","[0.5236075520515442, 0.9686144590377808, -0.06237291917204857]","[0.6478868126869202, 0.8524842858314514, -0.10491523146629333]","[0.7444955110549927, 0.7486677765846252, -0.14456985890865326]","[0.8407944440841675, 0.6725765466690063, -0.18658652901649475]","[0.5781239867210388, 0.5966302752494812, -0.0844661295413971]","[0.6747434139251709, 0.42707914113998413, -0.1586940437555313]","[0.7509393095970154, 0.32926011085510254, -0.2135765552520752]","[0.8266628384590149, 0.24907687306404114, -0.24944323301315308]","[0.49363410472869873, 0.5507181286811829, -0.09881942719221115]","[0.5455150604248047, 0.32784342765808105, -0.16295106709003448]","[0.6090115904808044, 0.18772074580192566, -0.20828215777873993]","[0.6710415482521057, 0.0642579197883606, -0.23946478962898254]","[0.40466856956481934, 0.5644787549972534, -0.12169712781906128]","[0.4331601858139038, 0.349449098110199, -0.18726423382759094]","[0.4834216833114624, 0.20358115434646606, -0.22685693204402924]","[0.5404768586158752, 0.07170188426971436, -0.25174304842948914]","[0.3128206729888916, 0.621671199798584, -0.14929212629795074]","[0.2841542065143585, 0.4556536078453064, -0.2089243233203888]","[0.29225534200668335, 0.3374927341938019, -0.23503507673740387]","[0.31712549924850464, 0.22193792462348938, -0.2507529854774475]"
"[0.38347455859184265, 1.040982723236084, 1.4214054999683867e-06]","[0.5249566435813904, 0.9885365962982178, -0.06776116043329239]","[0.6556998491287231, 0.8791725635528564, -0.112373486161232]","[0.7567574381828308, 0.7787264585494995, -0.15408194065093994]","[0.8578909635543823, 0.7019981145858765, -0.19835840165615082]","[0.5985572338104248, 0.607268750667572, -0.07858695834875107]","[0.7021470069885254, 0.4525054097175598, -0.15311525762081146]","[0.7813017964363098, 0.3623027801513672, -0.21082770824432373]","[0.8611156344413757, 0.2878323793411255, -0.2502431571483612]","[0.5176585912704468, 0.5618618726730347, -0.09163148701190948]","[0.5837812423706055, 0.3615918755531311, -0.15893207490444183]","[0.6571758985519409, 0.23879915475845337, -0.20987831056118011]","[0.7302371263504028, 0.13019207119941711, -0.24586381018161774]","[0.42875126004219055, 0.5740821361541748, -0.1148730218410492]","[0.46960556507110596, 0.37063008546829224, -0.18544791638851166]","[0.5301899909973145, 0.2342779040336609, -0.2312098890542984]","[0.599216103553772, 0.11246508359909058, -0.26050055027008057]","[0.33395037055015564, 0.6279883980751038, -0.14337106049060822]","[0.3137931227684021, 0.46163004636764526, -0.20993179082870483]","[0.33145207166671753, 0.3447314500808716, -0.243768572807312]","[0.3676137924194336, 0.23115235567092896, -0.2652636170387268]"
"[0.3817620873451233, 1.0407516956329346, 1.5049719195303624e-06]","[0.5255067348480225, 0.9903175234794617, -0.06634056568145752]","[0.6561548709869385, 0.8849970102310181, -0.10983549803495407]","[0.7595049142837524, 0.7880387306213379, -0.15033398568630219]","[0.8603639602661133, 0.7084330916404724, -0.1939316689968109]","[0.5986999273300171, 0.617552638053894, -0.08062433451414108]","[0.7095302939414978, 0.4707086682319641, -0.1567293256521225]","[0.7923557758331299, 0.38329175114631653, -0.2149210125207901]","[0.874154806137085, 0.3139128088951111, -0.25446754693984985]","[0.5190473794937134, 0.571664571762085, -0.09523583203554153]","[0.5940412282943726, 0.3718523383140564, -0.16353121399879456]","[0.6746600270271301, 0.250531941652298, -0.21692527830600739]","[0.7558993101119995, 0.14624327421188354, -0.2556282877922058]","[0.4291311800479889, 0.5838766098022461, -0.11987681686878204]","[0.4768059253692627, 0.3850913941860199, -0.19256849586963654]","[0.5430001616477966, 0.2544078528881073, -0.24229873716831207]","[0.6188145875930786, 0.14025413990020752, -0.27519431710243225]","[0.33364415168762207, 0.63697749376297, -0.1493108868598938]","[0.3208599090576172, 0.47173523902893066, -0.21944214403629303]","[0.3412811756134033, 0.3588322699069977, -0.2567387819290161]","[0.3819936215877533, 0.24900677800178528, -0.2812977135181427]"
"[0.36511027812957764, 1.0550808906555176, 1.5077101807037252e-06]","[0.5008015036582947, 0.9931859374046326, -0.06564214825630188]","[0.626447319984436, 0.876435399055481, -0.10951586067676544]","[0.7257574200630188, 0.7726914286613464, -0.15039221942424774]","[0.8249305486679077, 0.6849366426467896, -0.19336213171482086]","[0.5678238272666931, 0.6210699677467346, -0.08877775073051453]","[0.6717275381088257, 0.45740240812301636, -0.16723479330539703]","[0.7564128637313843, 0.36869099736213684, -0.22435006499290466]","[0.8417387008666992, 0.30159997940063477, -0.26214051246643066]","[0.4850720167160034, 0.5762316584587097, -0.10406223684549332]","[0.550991415977478, 0.3689039647579193, -0.1745818555355072]","[0.6320812702178955, 0.24950477480888367, -0.22304747998714447]","[0.7178853750228882, 0.1529102921485901, -0.2563990652561188]","[0.3941929340362549, 0.5902702808380127, -0.12920302152633667]","[0.43915894627571106, 0.3852017819881439, -0.20375175774097443]","[0.5090574622154236, 0.2550528645515442, -0.2478313446044922]","[0.5894008874893188, 0.14445632696151733, -0.27517595887184143]","[0.30097317695617676, 0.6476960778236389, -0.15900462865829468]","[0.282183974981308, 0.48403042554855347, -0.22973333299160004]","[0.2990197539329529, 0.36551010608673096, -0.26441413164138794]","[0.33189040422439575, 0.2550499141216278, -0.2855879068374634]"
